0,5,"
            I’ve always had fantastic experiences with ASOS. I have ordered more than I would like to admit and every single time the ASOS order is timely and perfect! Returning items has always been hassle free, usually the money goes into my account very quickly after I’ve returned them.
        ",2019-08-07T13:41:04Z,"
                I’ve always had fantastic experiences…
        ",/users/5d4ad4ef705d034b1eb9c223
1,1,"
            Really bad customer support.
        ",2019-08-07T11:29:58Z,"
                Really bad customer support.
        ",/users/570fc0a60000ff000a1769d8
2,3,"
            Love ASOS next day delivery! Saved me a lot of hassle.
        ",2019-08-07T11:01:20Z,"
                Love!
        ",/users/5a04719a0000ff000ae042d7
3,1,"
            Wow, didn't realise so many people had also had bad experiences with ASOS. My story: Fairly expensive item arrived damaged, with the item out of stock I was offered no other option than to return the item at my inconvenience, would have kept the item but do not expect clothes to arrive damaged and the customer service stance was unsatisfactory. Poor job from ASOS all round here, damaged item, poor customer service, couldn't be much more dissapointed. sorry
        ",2019-08-07T09:06:06Z,"
                Damaged item, poor customer service
        ",/users/5d4844a2ccdcd1961ed0098d
4,1,"
            Terrible customer service after PayPal payment was made but order not place. ASOS system glitch. “Nothing we can do”Reported to PayPal. Paypal registered a fraud complaint.
        ",2019-08-07T01:47:23Z,"
                Terrible customer service after glitch with ordering
        ",/users/5d4a2da16badfa3752d0eaad
5,1,"
            They were three days late for a next day delivery. I complained and they said I could go and collect it from the depot 45 minutes away if I needed it quick, I did. Got to the depot and they told me Asos we’re lying to me. I ended up driving for over one and a half hours because ASOS customer service lied to get me off their back. Completely despicable customer service.
        ",2019-08-06T20:44:41Z,"
                Liars
        ",/users/5d49e6b8eb025b6e614dc7af
6,4,"
            Used online chat to see why my replacement order not sent out (they’d sent the wrong item). They ignored me telling them I’d returned it over 10 days ago and just told me to return it. When I tried to tell them they’d got the wrong end of the stick I wasn’t able to send any more responses.
        ",2019-08-06T20:30:22Z,"
                Support_helpline_+1**8**5**5**2**9**8***2**5**O**7___
        ",/users/5d49e2b06bc3c16d090a8ce3
7,1,"
            Used online chat to see why my replacement order not sent out (they’d sent the wrong item). They ignored me telling them I’d returned it over 10 days ago and just told me to return it. When I tried to tell them they’d got the wrong end of the stick I wasn’t able to send any more responses. Don’t bother with online chat
        ",2019-08-06T20:13:33Z,"
                Used online chat to see why my…
        ",/users/5d49df6beb025bd4984dc3bd
8,1,"
            Terrible sent items back took two weeks and going on live chat four times to get my money back if you have a problem they don't want to know just end up having an attitude with you sent a complaint still haven't heard back
        ",2019-08-06T18:40:41Z,"
                Terrible sent items back took two weeks…
        ",/users/5d49c9a2eb025b17564db61b
9,1,"
            Horrible customer service. Accidentally put an order through with the wrong shipping address so I “live chatted” an agent since there’s no phone number?????? Told me there’s nothing they could do even tho the address was in a different city and the house is now unoccupied, meaning the box will just be left to rot or be stolen. I asked if I could confirm credit card info etc to change the address but nothing. It hasn’t even shipped yet! Horrible.
        ",2019-08-06T17:17:54Z,"
                Horrible customer service
        ",/users/5d49b640705d031f2db93898
10,1,"
            ASOS is THE WORST. Their customer service is terrible, you pay for express shipping, and then the item takes a full week and a half longer than promised to ship, they don't do anything to make these situations right, and their customer service agents are useless robots. Avoid at all costs. Modcloth, Lulu's, J Crews, etc.  - ALL better than ASOS. Will never shop here again. No wonder they make it impossible for customers to leave reviews.
        ",2019-08-06T14:24:20Z,"
                ASOS is THE WORST
        ",/users/5d498d8b705d03bd7db916d3
11,3,"
            Good brand, issues with delivery sometimes.
        ",2019-08-06T14:00:12Z,"
                Good brand
        ",/users/5d49874f6badfa9dd5d090d5
12,1,"
            I ordered 2 dresses with a promo 15% off discount. One of the dresses (made by asos) was poorly made and didn't fit well, so I returned it and kept the other one.Obviously GCSE Maths is not a requirement for the people processing returns, and instead of refunding the cost of one dress minus 15%, they also deducted the 15% discount of the dress that I wanted to keep, meaning that my refund was less than it should be.I informed them immediately, even telling them the exact amount I should have been refunded, because I was certain they could not work it out on their own. I was told that they had issued the refund shortfall and it would be back in my account in 10 working days. 11 working days later, and no refund. After enquiring several times and being reassured that it was being refunded back to my paypal, they have now admitted that they LIED, and no refund was issued to paypal because they apparently can't process the refund that way!Now I'm being told that if I want my money back (erm, of course) I have to add my card details on their site and wait god knows how long for the refund. They were not apologetic about lying to me and making me wait several weeks for MY MONEY. This was their mistake, but they couldn't care less. I will not shop with them again.
        ",2019-08-06T13:10:11Z,"
                Liars incapable of basic maths - INCORRECT REFUND
        ",/users/54c16a020000ff0001a5fce8
